dataset,model,class,support_true,pred_count,tp,precision,recall,f1
mental_sentiment,base,depression,15404,15621,13918,0.89,0.9,0.9
mental_sentiment,base,normal,16343,16126,14640,0.91,0.9,0.9
mental_sentiment,f,depression,15404,17428,14368,0.82,0.93,0.88
mental_sentiment,f,normal,16343,14319,13283,0.93,0.81,0.87
mental_sentiment,t,depression,15404,14451,13491,0.93,0.88,0.9
mental_sentiment,t,normal,16343,17296,15383,0.89,0.94,0.91
news_sentiment,base,bearish,1789,1943,1347,0.69,0.75,0.72
news_sentiment,base,bullish,2398,3116,1913,0.61,0.8,0.69
news_sentiment,base,neutral,7744,6872,6066,0.88,0.78,0.83
news_sentiment,f,bearish,1789,1546,1148,0.74,0.64,0.69
news_sentiment,f,bullish,2398,3991,2036,0.51,0.85,0.64
news_sentiment,f,neutral,7744,6394,5709,0.89,0.74,0.81
news_sentiment,t,bearish,1789,1985,1352,0.68,0.76,0.72
news_sentiment,t,bullish,2398,2617,1777,0.68,0.74,0.71
news_sentiment,t,neutral,7744,7329,6357,0.87,0.82,0.84
fiqasa_sentiment,base,negative,363,467,334,0.72,0.92,0.8
fiqasa_sentiment,base,neutral,91,149,34,0.23,0.37,0.28
fiqasa_sentiment,base,positive,719,557,520,0.93,0.72,0.82
fiqasa_sentiment,f,negative,363,447,329,0.74,0.91,0.81
fiqasa_sentiment,f,neutral,91,86,22,0.26,0.24,0.25
fiqasa_sentiment,f,positive,719,640,579,0.9,0.81,0.85
fiqasa_sentiment,t,negative,363,448,329,0.73,0.91,0.81
fiqasa_sentiment,t,neutral,91,244,42,0.17,0.46,0.25
fiqasa_sentiment,t,positive,719,481,453,0.94,0.63,0.76
imdb_sklearn,base,negative,4972,5582,4875,0.87,0.98,0.92
imdb_sklearn,base,positive,5027,4417,4320,0.98,0.86,0.91
imdb_sklearn,f,negative,4972,5481,4853,0.89,0.98,0.93
imdb_sklearn,f,positive,5027,4518,4399,0.97,0.88,0.92
imdb_sklearn,t,negative,4970,5689,4887,0.86,0.98,0.92
imdb_sklearn,t,positive,5022,4303,4220,0.98,0.84,0.91
sst2,base,negative,4471,6813,4439,0.65,0.99,0.79
sst2,base,positive,5520,3178,3146,0.99,0.57,0.72
sst2,f,negative,4471,6251,4415,0.71,0.99,0.82
sst2,f,positive,5527,3747,3691,0.99,0.67,0.8
sst2,t,negative,4470,7339,4456,0.61,1.0,0.75
sst2,t,positive,5511,2642,2628,0.99,0.48,0.64
