text,label,prediction,cleaned_prediction
"The plot of this film is not strong at all, lots of holes. If you approach it as a car movie its not bad, lots of great cars in this one. The reason I like it is because I am from the area where this was filmed. I get the most enjoyment looking at the recognizable places in St. Cloud MN and seeing how the town has changed since 89. Its an interesting historical piece for us locals. Seems like whenever a film is made here everyone wants some relationship to it. It is impossible to find a copy in any of the local video stores as they were all stolen once it came out on VHS. Had to get a copy from Japan on Ebay I find it interesting how the path of the drag race is all over town. I didn't know the director was from St.Cloud.",1,mixed,mixed
"Before watching this movie I thought this movie will be great as Flashpoint because before watching this movie Flashpoint was the last Jenna Jameson and Brad Armstrong movie I previously watched. As far as sexual scenes are concerned I was disappointed, I thought sexual scenes of Dreamquest will be great as Flashpoint sexual scenes but I was disappointed. Except Asia Carrera's sexual scene, any sexual scene in this movie doesn't make me feel great (you know what I mean). The great Jenna Jameson doesn't do those kind of sexual scenes of what she is capable of. Felecia and Stephanie Swift both of those lovely girls disappoint me as well as far as sexual scenes are concerned.<br /><br />Although its a adult movie but if you aside that sexual scenes factor, this movie is very good. If typical adult movie standards are concerned this movie definitely raised the standards of adult movies. Story, acting, direction, sets, makeups and other technical stuff of this movie are really great. The actors of this movie done really good acting, they all done a great job. Dreamquest is definitely raised the bar of quality of adult movies.",0,mixed,mixed
"As a Hammer completist I was dreading the time when I would have to raise the courage to watch this film and the one following it, Holiday on the Buses. I had seen One the Buses the film and thought it one of the worst films I have ever seen. It was full of all the awful comedy that plagued British TV screens around the early 70's.<br /><br />I am ashamed to say that there were actually parts of this film that I laughed at. I don't know if it was because I was now familiar with the characters and enjoyed some of the situations, knowing how they would react. I found Blakey particularly funny, although I could swear at no point in the trilogy does he say his catchphrase, 'I'll get you Butler'.<br /><br />Having watched Holiday on the Buses the jokes were starting to wear thin and these three films could be compared to an early Hammer trilogy, Dick Barton, in that the second film made is the best (although this is probably the only way they could be compared).<br /><br />The only people who would want to watch this film are probably fans of the TV series, who will no doubt enjoy this, and Hammer completists like myself. To the completists I would say that this film isn't that bad and I can certainly think of worse Hammer comedies.",1,mixed,mixed
"In late 1800s San Francisco, poor well-dressed Errol Flynn (as James J. Corbett) works at a bank, and enjoys attending local 'fights' (boxing) with co-worker and drinking buddy Jack Carson (as Walter Lowrie). One day, pretty Alexis Smith (as Victoria Ware) walks into the 'Comstock Bank', where Mr. Flynn works. Flynn is so taken with Ms. Smith's elegant beauty, he offers to carry her withdrawal purse. Smith is secretly taken with the handsome Flynn, but is put off by his brashness.<br /><br />Flynn's good deed (actually, pick-up attempt) gets him a complimentary membership in the snooty 'Olympic Club', which conveniently includes a gymnasium (with boxing equipment). However, Flynn's presumptuous manner, and practical joking (he tickles men on the parallel bars) irritates 'Club' members. When an English boxing champ visits the club, members endeavor to get Flynn to fight the man. They are hopeful Flynn will resign, humiliated by his defeat - but, Flynn wins! <br /><br />First time producer Robert Buckner puts together a nice package for Warner Brothers, and director Raoul Walsh. Mr. Buckner was, certainly, basking in the success of his contribution (screenplay) to the studio's brilliant 'Yankee Doodle Dandy'. Unfortunately, this story is positively ludicrous. There was a 'Gentleman Jim' - this story is supposedly the filming of the real James J. Corbett's autobiography 'The Roar of the Crowd' - but, this movie must be significantly fictionalized.<br /><br />Flynn is a very appealing leading man; he maneuvers the script lightly, and should have been recognized, by the early 1940s, as an excellent actor. Many of Flynn's characterizations were (are?) overlooked as great performances, and this is one of them. Smith does well as his feminine interest, deftly transmitting her emotions for the viewer. Director Walsh makes the silliness look smooth and extravagant. The supporting cast is a treasure trove, from boisterous Alan Hale (as Pat Corbett) to walk-on Lon McCallister ('Paging Mr. Corbett').<br /><br />******** Gentleman Jim (1942) Raoul Walsh ~ Errol Flynn, Alexis Smith, Alan Hale",0,mixed,mixed
"This is a story of a Jewish dysfunctional family. The parents have divorced and mom remains back east in the house. The father, Murray Abromowitz, moves with his children to California, and moves around Beverly Hills so that his children can get the best education possible.<br /><br />Things really become funny when Marisa Tomei, Murray's niece, comes to lives with the group.<br /><br />The film deals with the various adventures of the family complicated by the drug scene of the affluent neighborhood.<br /><br />Jessica Walter costars as a woman who wants Murray to move in with her since she wants a companion.<br /><br />Carl Reiner and Rita Moreno come in towards the end. They play Murray's brother and sister-in-law respectively; they're also the parents of Tomei. In front of the children, Reiner lets loose reminding Murray that he has been paying the bills for them all along.<br /><br />The film ends on a sour note as the embarrassed family moves out of their fancy digs and take to riding around Beverly Hills in their car. I guess the film is promoting independence and some good old self-esteem.",1,neutral,neutral
"This is the forty minute film that introduces us to the character of the Butcher, who will later be examined more thoroughly in the feature Seul Contre Tous. In this film, it follows the early period of his life from 1965-1979, but focusing on the late seventies. The first images are of a slaughter of a horse, then the birth of a baby, the Butcher's daughter, who we quickly see growing up each year. The Butcher (played by Philippe Nahon in both films) is a man bitter with the world. He hates many things. His anger comes to a head when a man assaults his autistic daughter. The Butcher then maims the wrong man, and finds himself in prison.<br /><br />This film follows the butcher's life to just after his release from prison, then Seul Contre Tous takes over from there. I watched the films the wrong way about, Seul Contre Tous first. Try and watch this little film first if you can.",0,neutral,neutral
"This thought long lost flick sometimes comes available on the web. So I bought me a copy. Well, of course the acting is terrible and the story line is childish but it does have his moments. I think people who searched this one also knows the backstory of it. It was made by a grindhouse cinema owner for an extreme low budget. But for me he surely didn't spoiled the money on props but on the make up. The make up is for that kind of flick well done. The zombies are watchable and the gore is intact. The only problem with that kind of movies is the quality of the pelicule. It's terrible, luckely no hiss on the sound but sometimes it's way too dark. So you have to watch clearly to see the gore. In a funny way they tried to sell this one as really not for the squeamish. A voice-over tells in the beginning of the movie to watch out for a sign and a man appearing with green flashes, that tells you there is gore on the way. Of course that doesn't work, made me think of Cannibal Girls, had that annoying bell when the red stuff started to flow. They had the original idea, Cannibal Girls was made a year earlier. Don't go for the storyline, go for the zombies and notice a continuity mistake. When the girl and guy are making love first she takes of her bra, then they make love and suddenly her underwear is back on...try to do that, or am I getting a bit offline,...eat it you ugly corpses",1,mixed,mixed
"After reading the book, I happened across this DVD at Wal-Mart for 3 bucks and thought, sure, what the hell... I got the DVD and watched it last night. When I started watching it, I checked the run time and it was about 90 minutes. I thought, OK cool... It seemed to run rather slowly, knowing the story and how much of it there was. By the time I got to the actual killings, I was like, 'how much time does this have left?' Checked. 'One minute?! What the hell?!' I felt incredibly cheated, thinking that the movie only progressed through a third of the overall story.<br /><br />But then, I happily noticed that the DVD's scene selection menu included a part 1 AND a part 2. I still had another hour and a half to go! I then sat very happily and enjoyed the second half of the movie, even more so than the first.<br /><br />I admit that I have not seen the 1967 original film (despite my sincerest desire to), I have however read the novel and felt that this was a fairly descent film, for a two-part TV miniseries, that is. I think the casting of the role of Perry was completely wrong and a few minor inconsistencies jumped out at me, but still very well done. The first half drags on a bit, while the second half is much more gripping. I think they should have proportioned the movie more like Capote did his book: 1/3 before the murders, 1/3 after, and 1/3 after the killers are arrested. Instead, the film makes it more 1/2 before the murders, 1/4 after, and 1/4 after the killers are arrested. Again, this makes the second half more exciting, but at the same time, less compelling while making the first half drag on and on...<br /><br />Now I look back and realize I have just made the same mistake about making things drag on and on, so I will shut the hell up. Go watch the movie and make up your own damn mind! <br /><br />Nick Houston",0,mixed,mixed
"First off, this film has no story. It's obvious there were a lot of rewrites during production -- sometimes characters reference a timeline that is impossible, and this is probably because the timeline of the entire story was never known to anyone on the set.<br /><br />That said, the film is kinda brilliant. Pfeiffer is amazing -- and I mean amazing, as Catwoman; she nails the character's inherent sexy darkness and good/bad tendencies. Walken is Walken -- but even more nasty than usual. Devito is not true to the comic book when it comes to Penguin, but he is good and memorable. <br /><br />Keaton is underrated as Batman. <br /><br />And the music and style are pure cinema thrill. True, the 3rd act doesn't work. But the final 2 scenes are knockouts, and it's clear Pfeiffer and Keaton were meant to be in a trilogy that got derailed by this film's kinky darkness. That's too bad, because Pfieffer and Keaton had classic chemistry, and had they acted in a third installment, Joel you know who might not have gotten the chance to destroy Batman for an entire generation of movie fans.",0,mixed,mixed
"Overall, a well done movie. There were the parts that made me wince, and there were the parts that I threw my hands up at, but I came away with something more than I gone in with.<br /><br />I think the movie suffers from some serious excess ambition. Without spoiling it, let me say that the obvious references to the trial by fire in Ramayana, is way beyond what this movie stands for. The Ramayana is an epic. Not a 200 page book that puts down women in India. The movie is about two girls married into a very distinctive Indian family. While the basic tenets of the 'unwritten laws of the family tradition' seem to be that of conservative India, let me assure my reader that I (having lived in Delhi for 12 years) found entire parts that just did not ring those bells. I mean some things and some actions are very true, but some other stuff is just way off the mark. Especially today.<br /><br />Delhi is complicated. India is complicated. The director tries to simplify both. And fails pretty miserably at that.<br /><br />Why in English? Can you imagine a movie about American Indians in English. Or the French speaking in English. Seriously jarring. Even the servant spoke in fluent accented English (albeit with a hint of colloquialisms in the language for 'believability').<br /><br />But the chemistry between the leads is palpable. If you like it hot, this is a movie for you. I think that is the biggest saving grace - the development of a true real life love story.<br /><br />If this film was about Radha and Sita, then it would have got full marks from me. And in being about them, it could have made a subtle statement. But this movie goes out there to say this is what India is, and this is what Indian society is like. And in that respect it succeeds as much as it fails. Just take everything you see with a pinch of salt. The dark secrets of India are not being revealed. Just two girls are falling in love. Just like it happens everywhere else.",0,mixed,mixed
