text,label,prediction,cleaned_prediction
"This is a story of a Jewish dysfunctional family. The parents have divorced and mom remains back east in the house. The father, Murray Abromowitz, moves with his children to California, and moves around Beverly Hills so that his children can get the best education possible.<br /><br />Things really become funny when Marisa Tomei, Murray's niece, comes to lives with the group.<br /><br />The film deals with the various adventures of the family complicated by the drug scene of the affluent neighborhood.<br /><br />Jessica Walter costars as a woman who wants Murray to move in with her since she wants a companion.<br /><br />Carl Reiner and Rita Moreno come in towards the end. They play Murray's brother and sister-in-law respectively; they're also the parents of Tomei. In front of the children, Reiner lets loose reminding Murray that he has been paying the bills for them all along.<br /><br />The film ends on a sour note as the embarrassed family moves out of their fancy digs and take to riding around Beverly Hills in their car. I guess the film is promoting independence and some good old self-esteem.",1,neutral,neutral
"A long overdue concert release, Rush-in-Rio DVD is both compelling and disappointing. This slick two-disc set shows Rush at their finest. After 30 years of honing their unique sound, it's great to have this record of one of the most talented rock bands ever.<br /><br />The concert features over two dozen songs, a documentary, and three songs that feature multi-angle viewing. Packaged in a bi-fold holder with sleeve and a small insert, it's priced very well for the amount of material it contains.<br /><br />I'm a Rush fan of the late seventies to early eighties period, and this DVD comes through big, with half of the show highlighting songs from that era. I won't list the songs, in case you want to be surprised. If you attended the Vapor Trails tour, then you'll know what they'll be playing.<br /><br />Playing in Rio to their biggest crowd ever, Rush is a huge crowd pleaser here. In fact, that was one of the first things I noticed that was peculiar about this show. Throughout most of this two hour concert, you hear and see the crowd, actively chanting and dancing wildly to the music. At first, it's heartening to see the fans give Rush a well deserved response. But after several songs, I was ready to hear and see more of the band and less of the crowd. This is in no way a slam of the crowd of Rio. More power to them! It's a critique of the final editing of the DVD.<br /><br />Which brings me to my second and main reason 'I hate it'. The video editing is terrible in my opinion. Save for the multi-angle view bonus cuts, the entire show is a frenzy of visual chaos. It's like the director wanted to see how spastic he could make it. I count changing camera angles, on average, between every one and four seconds, constantly! After about three or four songs, my head and eyes were ready for a break. Which is too bad, because I would have liked to have sat through the whole show, like I was able to at the concert last year. Maybe this fast-cut editing is the latest craze for concert DVD's, but I really think it's an annoyance and detraction from the overall experience. As stated before, I wouldn't mind it for a song or two, but the whole visual aspect of this disc is hurried, or RUSHed. It's really ironic, because all the previous concert clips I've seen of Rush, mainly from Moving Pictures, are strictly straight-filmed, with little switching back and forth. It's almost boring, visually speaking. This DVD has taken it to the other extreme. I know a lot of dyed-in-the-wool Rush fans will vehemently disagree with my statements, but that's just my impression of it.<br /><br />The bottom line: If you're a Rush fan, you'll buy this DVD regardless of my review, or any other. I still would have bought it after I had read my review. Just don't get expect a 'normal' concert. Who knows, the things mentioned above might not bother you.",0,mixed,mixed
"This movie is about a side of Ireland that Americans don't normally see, the narrow-minded religiously prejudiced side of the 'friendliest race in the world'. The movie, by the admission of the inhabitants of Fethard who are old enough to remember the events, is fairly accurate (though they insist that the film-makers invented some of the more violent scenes just to spice up the action).<br /><br />The movie was very unpopular in Ireland as it portrayed the Catholic church in a bad light, but the simple fact is that representatives of the Catholic church *did* organise vetoes of minorities (before Protestants it was the Jews).<br /><br />The film is a fascinating insight into the whole issue of religion in Ireland",0,neutral,neutral
"This is the forty minute film that introduces us to the character of the Butcher, who will later be examined more thoroughly in the feature Seul Contre Tous. In this film, it follows the early period of his life from 1965-1979, but focusing on the late seventies. The first images are of a slaughter of a horse, then the birth of a baby, the Butcher's daughter, who we quickly see growing up each year. The Butcher (played by Philippe Nahon in both films) is a man bitter with the world. He hates many things. His anger comes to a head when a man assaults his autistic daughter. The Butcher then maims the wrong man, and finds himself in prison.<br /><br />This film follows the butcher's life to just after his release from prison, then Seul Contre Tous takes over from there. I watched the films the wrong way about, Seul Contre Tous first. Try and watch this little film first if you can.",0,neutral,neutral
"For the record, the 1949 version of 'The Blue Lagoon' is not the original film, as many have stated.<br /><br />This story was filmed in Great Britain, in 1923, just after the novel was written. As much as I'd love to see the 1949 version, I'd thoroughly enjoy an opportunity at seeing the true original release of this story on film.<br /><br />Granted, the 1980 film with Christopher Atkins, Brooke Shields, and the two youngsters was filmed with beautiful cinematography. The acting didn't seem all that great when I first viewed this film, but after having viewed this a few times.... it becomes obvious that two children growing up on an island without adult guidance, would indeed have a simplistic way of approaching life.... whether it be in their language, appearance, or daily activities.<br /><br />Although some have been fortunate enough to view the 1949 'Blue Lagoon', I cannot help but wonder if there is anyone living who can remember the 1923 release of this story to film.",0,neutral,neutral
"Hip, distinguished doctor James Coburn (as Peter Carey) arrives to accept a position as pathologist at a Boston hospital. Almost immediately, Mr. Coburn beds beautiful nutritionist Jennifer O'Neill (as Georgia Hightower). While sleeping with Ms. O'Neill, Coburn is awakened by an emergency involving a botched abortion - the fifteen-year-old who bleeds to death happens to be the daughter of the hospital's big donor, Dan O'Herlihy (as J.D. Randall). Coburn doesn't believe the man arrested, doctor pal James Hong (as David Tao), committed the crime; although, Mr. Hong admits to performing illegal abortions on the side. While trying to clear his friend, Coburn wades through a thickening plot <br /><br />**** The Carey Treatment (3/29/72) Blake Edwards ~ James Coburn, Jennifer O'Neill, Michael Blodgett, James Hong",1,neutral,neutral
"This is a very strange HK film in many ways. First, many of the action sequences really aren't that much fun. The very first gun battle the occurs in the film was just silly. Not cool silly, or even funny silly, but just silly. That's not to say there aren't some great action scenes, but most simply don't come up to the level of some of the other films I have seen. The opposite side is that this film actually has CHARACTERS, not just people. All of the main characters are interesting (except for the head bad guy, who is flat as a billiard table) and most are fairly well acted. All the protagonists in this film are just fun to watch. The dialogue is quite witty, and doesn't seem to lose much in translation. This film is worth seeing, but I hope that uninitiated American audiences don't think this is the best HK has to offer.",0,Mixed,mixed
"Sure, this one isn't really a blockbuster, nor does it target such a position. 'Dieter' is the first name of a quite popular German musician, who is either loved or hated for his kind of acting and thats exactly what this movie is about. It is based on the autobiography 'Dieter Bohlen' wrote a few years ago but isn't meant to be accurate on that. The movie is filled with some sexual offensive content (at least for American standard) which is either amusing (not for the other 'actors' of course) or dumb - it depends on your individual kind of humor or on you being a 'Bohlen'-Fan or not. Technically speaking there isn't much to criticize. Speaking of me I find this movie to be an OK-movie.",1,neutral,neutral
"In the ravaged wasteland of the future, mankind is terrorized by Cyborgsrobots with human featuresthat have discovered a new source of fuel: human blood. Commanded by their vicious leader Jōb (Lance Henriksen), the Cyborgs prepare to overtake Taos, a densely populated human outpost.<br /><br />Only one force can stop Jōb's death marchthe Cyborg Gabriel (Kris Kristofferson), who is programmed to destroy Jōb and his army.<br /><br />In the ruins of a ransacked village, Gabriel finds Nea (Kathy Long), a beautiful young woman whose parents were killed by Cyborgs ten years earlier. Now she wants revenge. They strike a pact: Gabriel will train Nea how to fight the Cyborgs and Nea will lead Gabriel to Taos.<br /><br />Five-time kick-boxing champion Kathy Long has all the right moves in this high-speed adventure that delivers plenty of action. Also stars Gary Daniels (as David) and Scott Paulin (as Simon).",1,neutral,neutral
"Richard Farnsworth is one of my favorite actors. He usually gives solid performances, such as in The Straight Story, and The Grey Fox. He also does fairly well here, but the rest of the film suffers from a low budget, poor writing, and so-so photography. The Miller-Movie formula gives it a 4. Richard gets a 5.",1,Mixed,mixed
