text,label,prediction,cleaned_prediction
"This is a story of a Jewish dysfunctional family. The parents have divorced and mom remains back east in the house. The father, Murray Abromowitz, moves with his children to California, and moves around Beverly Hills so that his children can get the best education possible.<br /><br />Things really become funny when Marisa Tomei, Murray's niece, comes to lives with the group.<br /><br />The film deals with the various adventures of the family complicated by the drug scene of the affluent neighborhood.<br /><br />Jessica Walter costars as a woman who wants Murray to move in with her since she wants a companion.<br /><br />Carl Reiner and Rita Moreno come in towards the end. They play Murray's brother and sister-in-law respectively; they're also the parents of Tomei. In front of the children, Reiner lets loose reminding Murray that he has been paying the bills for them all along.<br /><br />The film ends on a sour note as the embarrassed family moves out of their fancy digs and take to riding around Beverly Hills in their car. I guess the film is promoting independence and some good old self-esteem.",1,neutral,neutral
"This is the forty minute film that introduces us to the character of the Butcher, who will later be examined more thoroughly in the feature Seul Contre Tous. In this film, it follows the early period of his life from 1965-1979, but focusing on the late seventies. The first images are of a slaughter of a horse, then the birth of a baby, the Butcher's daughter, who we quickly see growing up each year. The Butcher (played by Philippe Nahon in both films) is a man bitter with the world. He hates many things. His anger comes to a head when a man assaults his autistic daughter. The Butcher then maims the wrong man, and finds himself in prison.<br /><br />This film follows the butcher's life to just after his release from prison, then Seul Contre Tous takes over from there. I watched the films the wrong way about, Seul Contre Tous first. Try and watch this little film first if you can.",0,neutral,neutral
"This thought long lost flick sometimes comes available on the web. So I bought me a copy. Well, of course the acting is terrible and the story line is childish but it does have his moments. I think people who searched this one also knows the backstory of it. It was made by a grindhouse cinema owner for an extreme low budget. But for me he surely didn't spoiled the money on props but on the make up. The make up is for that kind of flick well done. The zombies are watchable and the gore is intact. The only problem with that kind of movies is the quality of the pelicule. It's terrible, luckely no hiss on the sound but sometimes it's way too dark. So you have to watch clearly to see the gore. In a funny way they tried to sell this one as really not for the squeamish. A voice-over tells in the beginning of the movie to watch out for a sign and a man appearing with green flashes, that tells you there is gore on the way. Of course that doesn't work, made me think of Cannibal Girls, had that annoying bell when the red stuff started to flow. They had the original idea, Cannibal Girls was made a year earlier. Don't go for the storyline, go for the zombies and notice a continuity mistake. When the girl and guy are making love first she takes of her bra, then they make love and suddenly her underwear is back on...try to do that, or am I getting a bit offline,...eat it you ugly corpses",1,mixed,mixed
"First off, this film has no story. It's obvious there were a lot of rewrites during production -- sometimes characters reference a timeline that is impossible, and this is probably because the timeline of the entire story was never known to anyone on the set.<br /><br />That said, the film is kinda brilliant. Pfeiffer is amazing -- and I mean amazing, as Catwoman; she nails the character's inherent sexy darkness and good/bad tendencies. Walken is Walken -- but even more nasty than usual. Devito is not true to the comic book when it comes to Penguin, but he is good and memorable. <br /><br />Keaton is underrated as Batman. <br /><br />And the music and style are pure cinema thrill. True, the 3rd act doesn't work. But the final 2 scenes are knockouts, and it's clear Pfeiffer and Keaton were meant to be in a trilogy that got derailed by this film's kinky darkness. That's too bad, because Pfieffer and Keaton had classic chemistry, and had they acted in a third installment, Joel you know who might not have gotten the chance to destroy Batman for an entire generation of movie fans.",0,Mixed,mixed
"Hip, distinguished doctor James Coburn (as Peter Carey) arrives to accept a position as pathologist at a Boston hospital. Almost immediately, Mr. Coburn beds beautiful nutritionist Jennifer O'Neill (as Georgia Hightower). While sleeping with Ms. O'Neill, Coburn is awakened by an emergency involving a botched abortion - the fifteen-year-old who bleeds to death happens to be the daughter of the hospital's big donor, Dan O'Herlihy (as J.D. Randall). Coburn doesn't believe the man arrested, doctor pal James Hong (as David Tao), committed the crime; although, Mr. Hong admits to performing illegal abortions on the side. While trying to clear his friend, Coburn wades through a thickening plot <br /><br />**** The Carey Treatment (3/29/72) Blake Edwards ~ James Coburn, Jennifer O'Neill, Michael Blodgett, James Hong",1,neutral,neutral
"This is a very strange HK film in many ways. First, many of the action sequences really aren't that much fun. The very first gun battle the occurs in the film was just silly. Not cool silly, or even funny silly, but just silly. That's not to say there aren't some great action scenes, but most simply don't come up to the level of some of the other films I have seen. The opposite side is that this film actually has CHARACTERS, not just people. All of the main characters are interesting (except for the head bad guy, who is flat as a billiard table) and most are fairly well acted. All the protagonists in this film are just fun to watch. The dialogue is quite witty, and doesn't seem to lose much in translation. This film is worth seeing, but I hope that uninitiated American audiences don't think this is the best HK has to offer.",0,mixed,mixed
"Sure, this one isn't really a blockbuster, nor does it target such a position. 'Dieter' is the first name of a quite popular German musician, who is either loved or hated for his kind of acting and thats exactly what this movie is about. It is based on the autobiography 'Dieter Bohlen' wrote a few years ago but isn't meant to be accurate on that. The movie is filled with some sexual offensive content (at least for American standard) which is either amusing (not for the other 'actors' of course) or dumb - it depends on your individual kind of humor or on you being a 'Bohlen'-Fan or not. Technically speaking there isn't much to criticize. Speaking of me I find this movie to be an OK-movie.",1,neutral,neutral
"Richard Willaims is an animation god. He was hampered in directing this film by the producer. The final product is a very uneven film with a very convoluted story, but some amazing moments of animation (like Emery Hawkins' 'Greedy'). Joe Raposo's repetitive music doesn't help either. It was made in wide screen so the VHS doesn't show it in all it's glory, let's hope for a letterboxed DVD someday. Still it's worth watching for some eye popping animation.",0,Mixed,mixed
"I'm not sure what intrigues me about this movie so. It is grainy, poorly written, bleached out, often ridiculous, and at many points mind numbingly dull (the person I was watching it with fell asleep twice.) And yet there is something in this film that fascinates me, though I am not sure what; perhaps the character of Sam, an enormous former patient who was lobotimized by the former head doctor and who is perpetually sucking on an ice pop), or the marvelously played head doctor (I forget her name).<br /><br />Anyway, watch it and form you're own opinion; it has one of the greatest endings I have seen in film.",0,Mixed,mixed
"Witchy Hildegard Knef traps a group of people in an isolated hotel and picks them off one by one in twisted, disgusting ways. I thought I'd seen it all until one unfortunate man here is crucified and then has his head set on fire. Hildy is quite the prankster too: she takes a nagging harpy and sews her mouth shut...then hangs her upside down in the chimney just in time for a roaring fire! 'Witchery' made me sick. It made my eyes hurt. I was ready to write it off as the worst movie ever-ever-ever made by otherwise competent people...until the finale. I have to admit I loved the ending. It involves a boy and his toy tape-recorder cornered by Linda Blair looking fantastically possessed. The scene only lasts for about a minute and the movie's over, but you know that old saying: 'If you've got a great ending, people will forgive you for just about anything!'",1,mixed,mixed
"The CinemaScope color cinematography of Leon Shamroy is quite remarkable here,including his use of colored filters for<br /><br />various scenes. The Alfred Newmann Score has to be the most sensual and seductive score Hollywood ever produced. It's a shame it is no longer available on CD. The actors, however, never rise to the occasion. The accents are so varied, from the subdued British of Ustinov and Purdom to the Hollywood of Baxter and Mature that it seems a true hodgepodge with no central vision. Tommy Rettig is jarringly American. Acting styles span the range from zombie-like to stilted. Only Ustinov as a conniving one-eyed servant steals the show - what there is of it to steal. The premise - the story of a young Egyptian doctor, seduced and abandoned by the rich - and the parallel theme of the cult of the single God, Ra - persecuted by the authorities, has its interesting points. But when the film's plot fades, it is the haunting music and visuals that remain.",1,mixed,mixed
