text,label,prediction,cleaned_prediction
"The three main characters are all hopeless, and yet you only feel sorry for one of them: Ernesto, hopelessly devoted to Mercedes. This was part of the frustration: screaming at Mercedes to get a clue and ditch the no-good Harry, to no avail.<br /><br />Then there's the satisfaction: Steve Buscemi has a great part as a transvestite, and Harvey Keitel's moving story of his indignity playing a gorilla for a cheap TV movie is incredible. When you least expect it, Quentin Tarintino is doing half a monologue, and Anthony Quinn turns Ernesto into a wealthy man.<br /><br />Time and again great moments appear in the story, but in the end it's hard to know what to feel about this movie. It doesn't have a happy ending, or even a complete one, but it somehow feels right.<br /><br />This movie is strange, but then so am I; no wonder I liked it.",1,mixed,mixed
"This series, made for Televisión Española (TVE) is basically a series of chapters in the life of an ordinary family in 1968, primarily as seen through the eyes of the youngest son.<br /><br />Based on a background of historical events, such as the May 1968 student uprising in France, the decaying Franco regime, the war in Viet-Nam, the rise of imperialism, and others specifically related to Spanish life at that particular moment, one might regard this series as a simple compilation of characteristic foibles which make themselves so apparent in this kind of entertainment.<br /><br />Generally treated in a lightweight vein though not lacking in certain moments which might be called dramatic, the series would seem to be aimed at people of around fifty who can rember those times, as, it should be stated, anyone younger either chooses to ignore such happenings or is busily occupied in other things.<br /><br />The best thing that can be said of this series is Ana Duato's rôle as mother of three children: she plays the part of the total housewife of the times really well, manifesting that peculiar Spanish penchant, especially noticeable among women, of letting all her thinking and her doings be carried forward by the impetus of her heart, without any resorting to the use of the brain. As we say in Spain, common sense is one of the least common senses. Imanol Arias offers very little, apart from not being his usual stereotyped hard policeman as in other television series. Indeed, as an actor, he should not be trusted in anything which is not a TV series. His resources are too limited; however, his part as father of the working-class household is not at all bad.<br /><br />Not really recommendable for other audiences, even Spanish-speakers in Latin America: the themes are all too parochially related to a specific spot in contemporary Spanish history, such that if the viewer was not living here at that time he will miss most of the references. It is even probable that certain situations which cause a few Spanish smiles would not mean anything to other viewers.",0,neutral,neutral
"The story and the show were good, but it was really depressing and I hate depressing movies. Ri'Chard is great. He really put on a top notch performance, and the girl who played his sister was really awesome and gorgeous. Seriously, I thought she was Carmen Electra until I saw the IMDb profile. I can't say anything bad about Peter Galleghar. He's one of my favorite actors. I love Anne Rice. I'm currently reading the Vampire Chronicles, but I'm glad I saw the movie before reading the book. This is a little too""real"" for me. I prefer Lestat and Louis's witty little tiffs to the struggles of slaves. Eartha Kitt was so creepy and after her character did what she did The movie was ruined for me; I could barely stand to watch the rest of the show. (sorry for the ambiguity, but I don't want to give anything away) Sorry, but it's just not my type of show.",0,mixed,mixed
"Johnny and June Carter Cash financed this film which is a traditional rendering of the Gospel stories. The music is great, you get a real feel of what the world of Jesus looked like (I've been there too), and June gets into the part of Mary Magdalene with a passion. Cash's narration is good too.<br /><br />But....<br /><br />1. The actor who played Jesus was miscast. 2. There is no edge to the story like Cash puts in some of his faith based music. 3. Because it is uncompelling, I doubt we'll see this ever widely distributed again.<br /><br />I'd love to buy the CD.<br /><br />Tom Paine Texas, USA",1,mixed,mixed
"Peak Practice was a British drama series about a GP surgery in Cardale  a small fictional town in the Derbyshire Peak District  and the doctors who worked there. It ran on ITV from 1993 to 2002, and was one of their most successful series at the time. It originally starred Kevin Whately as Dr Jack Kerruish, Amanda Burton as Dr Beth Glover, and Simon Shepherd as Dr Will Preston, though the roster of doctors would change many times over the course of the series.<br /><br />The series was axed in 2002 and ended on a literal cliffhanger when two of the series main characters plunged off a cliff. Viewers wrote to ITV in their thousands and a petition for one last episode was set up by website Peak Practice Online. However, all pleas were unsuccessful and ITV said they would not make any more episodes.<br /><br />Peak Practice was replaced by Sweet Medicine, another medical series set in Derbyshire. It lasted a few episodes before it was dropped from the schedules.<br /><br />Cardale was based on the Derbyshire village of Crich, and the series was filmed there and at other nearby Derbyshire towns and villages, most notably Matlock and Ashover. After the end of this programme, ITV attempted to launch a follow-up series called Sweet Medicine, which extended the stories of different characters from the original show.",1,neutral,neutral
"A CBS radio program entitled ""We the People"" assists in finding an American home for Vienna refugee Charles Coburn (as Karl Braun), a skilled surgeon and pool hustler. He arrives with beautiful daughter Sigrid Gurie (as Leni), who is ""studying"" to become a nurse. Relocated to a small, dusty Midwestern village, they are welcomed at the station by burly John Wayne (as John Phillips) and his uncle Spencer Charters (as 'Nunk' Atterbury), a veterinarian. Ms. Gurie is unhappy in the dustbowl, and wants to leave. Immediately. But, the prospect of romance with Mr. Wayne might change her mind...<br /><br />God answers the citizens' many prayers for rain, but it may not be enough to save the farming town. The entire town is advised to relocate to Oregon. Wayne wants to stay and tough it out. Coburn receives an invitation to work at a top clinic. And, Gurie learns her fiancé, presumed dead, will be arriving to claim her as his wife. She feels duty-bound to accept; but, he has a dark secret... This film does not flatter Wayne, who seems way out of his element. Being paired with Gurie, promoted as another Garbo, doesn't help. They do have a cute scene in Wayne's car (""Jalopy, an Italian car"").<br /><br />**** Three Faces West (7/3/40) Bernard Vorhaus ~ John Wayne, Sigrid Gurie, Charles Coburn, Spencer Charters",0,neutral,neutral
"De Palma's technique had hit its high maturity by the time of this film, which is a wonderful showcase of his classic techniques, though unfortunately, as with many of the films written by De Palma himself, the story serves the meta more than the interests of putting forth an emotionally compelling tale. <br /><br />The story opens with a CRAZY scene in which Angie Dickinson masturbates in a shower while she looks at her husband. She is then grabbed and raped while he husband stands obliviously near-and the whole thing is revealed to be Angie's fantasy as he husband is pumping mindlessly away at her in bed. She has a short scene with her son, a dead ringer for Harry Potter, which concludes with a joke that ""she'll tell grandma that he is playing with his peter."" She then goes to her therapy session, where she complains about her dead marriage, before attempting to seduce her therapist, Michael Caine. He refuses, and she is hurt and feeling unattractive and unfulfilled.<br /><br />Then begins a bravura 22-minute nearly wordless sequence that is perhaps the highlight of the film. Among the many things De Palma gleaned from Hitchcock is the understanding of film as a purely visual medium of telling stories and in typical De Palma fashion, he turns this into a way to show off his formidable skill. The problem, for me, is that in this instance one begins to feel that scenes are being needlessly protracted simply to further show off the director's skill. <br /><br />The sequence begins with Angie at an art museum. She watches strangers, all involved in sexual or family activities, then begins to get turned on to a man sitting next to her. De Palma very skillfully tells an extremely complicated narrative without a single word about Angie's attraction, embarrassment, retreating, and finally finding and submitting to the stranger in the back of a taxi cab, all set to a wonderfully lush score by Pino Donaggio, who also scored Carrie.<br /><br />In the second part of the sequence Angie has slept with the guy, and gets up to return to her husband. Again De Palma crams a ton of narrative in without a word of dialogue uttered, as Angie realizes that she doesn't have her panties, that her husband is already home and no doubt wondering where she is, that she has probably contracted a venereal disease, and that she has lost her engagement ring somewhere in the shuffle. It's all very admirable, but one begins to feel a little strung along as we are forced to do things like take a long elevator ride down from the seventh floor, then up again, almost in real time.<br /><br />...Spoilers from here on out! When Angie reaches the seventh floor again, she is killed by a big woman with blond hair. The woman hacks away at her until she reaches the ground floor, when the door opens and Nancy Allen sees her there. There is a wonderful slow-motion sequence as Nancy reaches into the elevator, Angie reaches up toward her, and the killer's blade is held poised to slash Nancy's hands. Then follow some electrifying shots as Nancy looks up and sees the killer in the elevators convex mirror. It's all good, and by the time we have some dialogue again, you think; ""Woah, that was just 22 straight minutes of purely visual narrative!"" Or maybe you don't, but I do.<br /><br />A younger Dennis Franz has a great part as a sleazy and tough New York detective who would rather that everyone else do his work for him. He Interviews Michael Caine, making the outrageous implication (though it passes as commonplace) that Angie WANTED to be killed. Angie's son is there as well, and he hooks up with Nancy, and they set about to spy on Caine's therapist and find out who the killer is.<br /><br />Once again there is a strong tie to a Hitchcock film, in this case Psycho (just as Obsession is a re-working of Vertigo). You have a woman who we are supposed to understand is secretly a slut, who gets killed in the first 30 minutes in an enclosed space, in this case an elevator rather than a shower. Then the relatives of the deceased conduct an investigation, which reveals that the killer is a man who dresses as a woman to kill. De Palma even throws in a doctor at the end who explains the psychology of the whole thing. <br /><br />It is very interesting, but at the same time a viewer can begin to feel a bit jerked around, and that is my primary reservation about this film. It is definitely essential viewing and showcases some of De Palma's greatest setpieces, but that feeling that the story is running a solid third behind the need for De Palma to show off and his somewhat unseemly sexual fantasies makes it hard to look back on this one with whole-hearted affection.<br /><br />--- Check out other reviews on my website of bad and cheesy movies, Cinema de Merde, cinemademerde.com",1,mixed,mixed
"The Earth is destined to be no more thanks to Father Pergado and a bunch of Nuns. Christopher Lee (who has since said that he was duped in to appearing in this by his producers who told him loads of great actors were involved) is Father Pergado and gets to do his usual serious and scary routine. The cast are not too bad, though most have now retired from acting. The film has terrible sound effects (mainly created from pressing keys on an old computer it seems) and it ridiculously pondering at times - showing a scene of the sky, for instance, for what feels like hours at a time. Despite this the story is pretty humorous in a world-is-doomed sort of way and the production is adequate. Interestingly one scene features Albert Band and wife Jackie; Meda Band; Writer Frank Ray Perilli and Charles Band's assistant Bennah Burton. Despite its plodding nature I genuinely wanted to see how it all worked out and thus quite liked it.",0,mixed,mixed
"The first hour or so of the movie was mostly boring to say the least. However it improved afterwards as the Valentine Party commenced. Apart from the twist as to the identity of the killer in the very end, the hot bath murder scene was one of the few relatively memorable aspects of this movie. The scene at the garden with Kate was well shot and so was the very last scene (the 'twist'). In those scenes, there was some genuine suspense and thrills and the hot bath murder scene had a nasty (the way slashers should be) edge to it. The earlier murders are frustratingly devoid of gore.",1,mixed,mixed
"I'm surprised that no one yet has mentioned that there are two versions of this same film. The lion's share of the footage in both is identical, but here is where they differ: In one version (the version I have seen most often on broadcast TV), the group of clerics guarding the gateway consists of the ""Brotherhood of the Protectors"", a (fictional) splinter group of priests and brothers ""excommunicated"" by the Church. In the other version, which I've seen only once on TV, the clerics guarding the gateway are depicted as priests of the official Church, meaning the Archdiocese of New York (or perhaps Brooklyn). Also, in the former version, in most of the pertinent scenes, the clerics are referred to as ""brothers"" (and in some scenes, you can see where the lips say ""Father"" so-and-so but the dubbed audio says ""Brother"" so-and-so. In the latter version, I believe everyone is referred to as ""Father"".<br /><br />In any event, it seems that one of these two versions is more or less a partial re-shooting of the other, with all ""Brotherhood of the Protector"" scenes re-shot as ""Archdiocese"" scenes, or vice versa. (Kind of reminds me of the Raymond Burr cutaway scenes in ""Godzilla""). I have videotaped both versions off broadcast TV, so no, I'm not imagining this. Can anyone shed some more light on the story behind these two versions of the film?",1,neutral,neutral
