text,label,prediction,cleaned_prediction
"The three main characters are all hopeless, and yet you only feel sorry for one of them: Ernesto, hopelessly devoted to Mercedes. This was part of the frustration: screaming at Mercedes to get a clue and ditch the no-good Harry, to no avail.<br /><br />Then there's the satisfaction: Steve Buscemi has a great part as a transvestite, and Harvey Keitel's moving story of his indignity playing a gorilla for a cheap TV movie is incredible. When you least expect it, Quentin Tarintino is doing half a monologue, and Anthony Quinn turns Ernesto into a wealthy man.<br /><br />Time and again great moments appear in the story, but in the end it's hard to know what to feel about this movie. It doesn't have a happy ending, or even a complete one, but it somehow feels right.<br /><br />This movie is strange, but then so am I; no wonder I liked it.",1,mixed,mixed
"This series, made for Televisión Española (TVE) is basically a series of chapters in the life of an ordinary family in 1968, primarily as seen through the eyes of the youngest son.<br /><br />Based on a background of historical events, such as the May 1968 student uprising in France, the decaying Franco regime, the war in Viet-Nam, the rise of imperialism, and others specifically related to Spanish life at that particular moment, one might regard this series as a simple compilation of characteristic foibles which make themselves so apparent in this kind of entertainment.<br /><br />Generally treated in a lightweight vein though not lacking in certain moments which might be called dramatic, the series would seem to be aimed at people of around fifty who can rember those times, as, it should be stated, anyone younger either chooses to ignore such happenings or is busily occupied in other things.<br /><br />The best thing that can be said of this series is Ana Duato's rôle as mother of three children: she plays the part of the total housewife of the times really well, manifesting that peculiar Spanish penchant, especially noticeable among women, of letting all her thinking and her doings be carried forward by the impetus of her heart, without any resorting to the use of the brain. As we say in Spain, common sense is one of the least common senses. Imanol Arias offers very little, apart from not being his usual stereotyped hard policeman as in other television series. Indeed, as an actor, he should not be trusted in anything which is not a TV series. His resources are too limited; however, his part as father of the working-class household is not at all bad.<br /><br />Not really recommendable for other audiences, even Spanish-speakers in Latin America: the themes are all too parochially related to a specific spot in contemporary Spanish history, such that if the viewer was not living here at that time he will miss most of the references. It is even probable that certain situations which cause a few Spanish smiles would not mean anything to other viewers.",0,neutral,neutral
"The story and the show were good, but it was really depressing and I hate depressing movies. Ri'Chard is great. He really put on a top notch performance, and the girl who played his sister was really awesome and gorgeous. Seriously, I thought she was Carmen Electra until I saw the IMDb profile. I can't say anything bad about Peter Galleghar. He's one of my favorite actors. I love Anne Rice. I'm currently reading the Vampire Chronicles, but I'm glad I saw the movie before reading the book. This is a little too""real"" for me. I prefer Lestat and Louis's witty little tiffs to the struggles of slaves. Eartha Kitt was so creepy and after her character did what she did The movie was ruined for me; I could barely stand to watch the rest of the show. (sorry for the ambiguity, but I don't want to give anything away) Sorry, but it's just not my type of show.",0,Mixed,mixed
"Peak Practice was a British drama series about a GP surgery in Cardale  a small fictional town in the Derbyshire Peak District  and the doctors who worked there. It ran on ITV from 1993 to 2002, and was one of their most successful series at the time. It originally starred Kevin Whately as Dr Jack Kerruish, Amanda Burton as Dr Beth Glover, and Simon Shepherd as Dr Will Preston, though the roster of doctors would change many times over the course of the series.<br /><br />The series was axed in 2002 and ended on a literal cliffhanger when two of the series main characters plunged off a cliff. Viewers wrote to ITV in their thousands and a petition for one last episode was set up by website Peak Practice Online. However, all pleas were unsuccessful and ITV said they would not make any more episodes.<br /><br />Peak Practice was replaced by Sweet Medicine, another medical series set in Derbyshire. It lasted a few episodes before it was dropped from the schedules.<br /><br />Cardale was based on the Derbyshire village of Crich, and the series was filmed there and at other nearby Derbyshire towns and villages, most notably Matlock and Ashover. After the end of this programme, ITV attempted to launch a follow-up series called Sweet Medicine, which extended the stories of different characters from the original show.",1,neutral,neutral
"A CBS radio program entitled ""We the People"" assists in finding an American home for Vienna refugee Charles Coburn (as Karl Braun), a skilled surgeon and pool hustler. He arrives with beautiful daughter Sigrid Gurie (as Leni), who is ""studying"" to become a nurse. Relocated to a small, dusty Midwestern village, they are welcomed at the station by burly John Wayne (as John Phillips) and his uncle Spencer Charters (as 'Nunk' Atterbury), a veterinarian. Ms. Gurie is unhappy in the dustbowl, and wants to leave. Immediately. But, the prospect of romance with Mr. Wayne might change her mind...<br /><br />God answers the citizens' many prayers for rain, but it may not be enough to save the farming town. The entire town is advised to relocate to Oregon. Wayne wants to stay and tough it out. Coburn receives an invitation to work at a top clinic. And, Gurie learns her fiancé, presumed dead, will be arriving to claim her as his wife. She feels duty-bound to accept; but, he has a dark secret... This film does not flatter Wayne, who seems way out of his element. Being paired with Gurie, promoted as another Garbo, doesn't help. They do have a cute scene in Wayne's car (""Jalopy, an Italian car"").<br /><br />**** Three Faces West (7/3/40) Bernard Vorhaus ~ John Wayne, Sigrid Gurie, Charles Coburn, Spencer Charters",0,neutral,neutral
"I was Stan in the movie ""Dreams Come True"". Stan was the friend that worked at the factory with the main character and ended getting his arm smashed in the machinery and got carried out screaming (where was the ambulance?) The acting in this movie was for the most part pretty poor with mostly local actors from the Fox Valley, Wisconsin. I saw the movie on the big screen. It played 2 nights in 3 theaters and was something special to see yourself on the big screen. I may be bias, but overall, I enjoyed it. Also the soundtrack was the band Spooner, who later became Garbage. My brother, Steve Charlton was also in the movie. He played Swenson the man who comes to the door on crutches to talk with the police.",0,mixed,mixed
"I'm surprised that no one yet has mentioned that there are two versions of this same film. The lion's share of the footage in both is identical, but here is where they differ: In one version (the version I have seen most often on broadcast TV), the group of clerics guarding the gateway consists of the ""Brotherhood of the Protectors"", a (fictional) splinter group of priests and brothers ""excommunicated"" by the Church. In the other version, which I've seen only once on TV, the clerics guarding the gateway are depicted as priests of the official Church, meaning the Archdiocese of New York (or perhaps Brooklyn). Also, in the former version, in most of the pertinent scenes, the clerics are referred to as ""brothers"" (and in some scenes, you can see where the lips say ""Father"" so-and-so but the dubbed audio says ""Brother"" so-and-so. In the latter version, I believe everyone is referred to as ""Father"".<br /><br />In any event, it seems that one of these two versions is more or less a partial re-shooting of the other, with all ""Brotherhood of the Protector"" scenes re-shot as ""Archdiocese"" scenes, or vice versa. (Kind of reminds me of the Raymond Burr cutaway scenes in ""Godzilla""). I have videotaped both versions off broadcast TV, so no, I'm not imagining this. Can anyone shed some more light on the story behind these two versions of the film?",1,neutral,neutral
"I found the documentary entitled Fast, Cheap, and Out of Control to be a fairly interesting documentary. The documentary contained four ""mini"" documentaries about four interesting men. Each one of these men was extremely involved with his job, showing sheer love and enjoyment for one's job.<br /><br />The sad part, I must say, would have to be the subjects in which these individuals worked/studied. They were interesting for about five minutes, afterwards becoming boring and lasting entirely too long.<br /><br />The video was filmed in a very creative way though. I very much enjoyed the film of one thing with a voice dub over another. It played out excellent and also coincided nicely with the music.",0,Mixed,mixed
"Teamo Supremo are three kids, consisting of their leader- Captain Crandall, Rope Girl and Skate Lad, all with their own battlecry (buza! chika! woopa!) and outfit and moves. They work for the governor, Kevin, and were recruited after wishing to be heroes and playing at that game. They lead normal lives as well, and have family and school duties, but most of the action takes place away from school fighting villains. The villains all have rather unique and singular traits, such as Mister Vague and his men who never seem to know what their plans are but act anyway. From an evil robot to a wicked baron the three have to encounter them and stop their evil, and often strange, plans to gain power, take revenge etc.<br /><br />The animation itself is quite nice and smooth, but the style appears to be simple on purpose. The backgrounds have overlapping colour and the buildings seem futuristic. The music is quite nice, and the show isn't too bad altogether, although the style isn't my favourite.<br /><br />The plots are almost always nonsensical and ridiculous, but after all this is a cartoon and one can't blame them for that. However this would not be in the same rank as Fillmore! or Pepper Ann.",0,neutral,neutral
"Attractive husband and wife writing team Robert Wagner (as Joel Gregory) and Kate Jackson (as Donna Gregory) arrive at the spooky mansion of actress ""Lorna Love"" (actually, silent film star Harold Lloyd's house). Mr. Wagner and Ms. Jackson are contracted to write the silent movie star's biography. Wagner has a personal interest in the project, since his father was once the famed star's lover. Mysterious events unfold, and Jackson must fight to save her husband from the spirit of the beautiful blonde, who is ""perfectly preserved"" in a crypt on the estate; moreover, the evil woman seems bent on possessing her husband, and murdering Jackson! <br /><br />This is very much a ""Night of Dark Shadows"" variation, co-starring genuine ""Dark Shadows"" alumni Kate Jackson, who knows and plays her part well. Robert Wagner lacks David Selby's intensity. Sylvia Sidney (as Mrs. Josephs) sidesteps Grayson Hall. Marianna Hill is not a match for Lara Parker (or Diana Millay). Bill Macy (as Oscar Payne) is good in a part that would have been played by John Karlen (in a Dan Curtis production).<br /><br />There are smooth cameos by Joan Blondell, John Carradine, and Dorothy Lamour. Ms. Lamour's delivery resembles Joan Bennett, which begs the question: why didn't producer Aaron Spelling get more of the original ""Dark Shadows"" regulars? <br /><br />Director E.W. Swackhamer was Bridget Hanley's husband; he worked with Ms. Blondell on ""Here Come the Brides"", and with Jackson on ""The Rookies"". ""Death at Love House"" has, arguably, a tighter storyline than the ""Night of Dark Shadows"" film; it differs in the movie star angle; and, in its ""Father Eternal Fire"" ending, it more closely resembles the TVseries' ""Laura the Phoenix"" storyline. <br /><br />**** Death at Love House (9/3/76) E.W. Swackhamer ~ Robert Wagner, Kate Jackson, Sylvia Sidney",0,neutral,neutral
