text,label,prediction,cleaned_prediction
"The three main characters are all hopeless, and yet you only feel sorry for one of them: Ernesto, hopelessly devoted to Mercedes. This was part of the frustration: screaming at Mercedes to get a clue and ditch the no-good Harry, to no avail.<br /><br />Then there's the satisfaction: Steve Buscemi has a great part as a transvestite, and Harvey Keitel's moving story of his indignity playing a gorilla for a cheap TV movie is incredible. When you least expect it, Quentin Tarintino is doing half a monologue, and Anthony Quinn turns Ernesto into a wealthy man.<br /><br />Time and again great moments appear in the story, but in the end it's hard to know what to feel about this movie. It doesn't have a happy ending, or even a complete one, but it somehow feels right.<br /><br />This movie is strange, but then so am I; no wonder I liked it.",1,mixed,mixed
"This series, made for Televisión Española (TVE) is basically a series of chapters in the life of an ordinary family in 1968, primarily as seen through the eyes of the youngest son.<br /><br />Based on a background of historical events, such as the May 1968 student uprising in France, the decaying Franco regime, the war in Viet-Nam, the rise of imperialism, and others specifically related to Spanish life at that particular moment, one might regard this series as a simple compilation of characteristic foibles which make themselves so apparent in this kind of entertainment.<br /><br />Generally treated in a lightweight vein though not lacking in certain moments which might be called dramatic, the series would seem to be aimed at people of around fifty who can rember those times, as, it should be stated, anyone younger either chooses to ignore such happenings or is busily occupied in other things.<br /><br />The best thing that can be said of this series is Ana Duato's rôle as mother of three children: she plays the part of the total housewife of the times really well, manifesting that peculiar Spanish penchant, especially noticeable among women, of letting all her thinking and her doings be carried forward by the impetus of her heart, without any resorting to the use of the brain. As we say in Spain, common sense is one of the least common senses. Imanol Arias offers very little, apart from not being his usual stereotyped hard policeman as in other television series. Indeed, as an actor, he should not be trusted in anything which is not a TV series. His resources are too limited; however, his part as father of the working-class household is not at all bad.<br /><br />Not really recommendable for other audiences, even Spanish-speakers in Latin America: the themes are all too parochially related to a specific spot in contemporary Spanish history, such that if the viewer was not living here at that time he will miss most of the references. It is even probable that certain situations which cause a few Spanish smiles would not mean anything to other viewers.",0,neutral,neutral
"The story and the show were good, but it was really depressing and I hate depressing movies. Ri'Chard is great. He really put on a top notch performance, and the girl who played his sister was really awesome and gorgeous. Seriously, I thought she was Carmen Electra until I saw the IMDb profile. I can't say anything bad about Peter Galleghar. He's one of my favorite actors. I love Anne Rice. I'm currently reading the Vampire Chronicles, but I'm glad I saw the movie before reading the book. This is a little too""real"" for me. I prefer Lestat and Louis's witty little tiffs to the struggles of slaves. Eartha Kitt was so creepy and after her character did what she did The movie was ruined for me; I could barely stand to watch the rest of the show. (sorry for the ambiguity, but I don't want to give anything away) Sorry, but it's just not my type of show.",0,mixed,mixed
"Peak Practice was a British drama series about a GP surgery in Cardale  a small fictional town in the Derbyshire Peak District  and the doctors who worked there. It ran on ITV from 1993 to 2002, and was one of their most successful series at the time. It originally starred Kevin Whately as Dr Jack Kerruish, Amanda Burton as Dr Beth Glover, and Simon Shepherd as Dr Will Preston, though the roster of doctors would change many times over the course of the series.<br /><br />The series was axed in 2002 and ended on a literal cliffhanger when two of the series main characters plunged off a cliff. Viewers wrote to ITV in their thousands and a petition for one last episode was set up by website Peak Practice Online. However, all pleas were unsuccessful and ITV said they would not make any more episodes.<br /><br />Peak Practice was replaced by Sweet Medicine, another medical series set in Derbyshire. It lasted a few episodes before it was dropped from the schedules.<br /><br />Cardale was based on the Derbyshire village of Crich, and the series was filmed there and at other nearby Derbyshire towns and villages, most notably Matlock and Ashover. After the end of this programme, ITV attempted to launch a follow-up series called Sweet Medicine, which extended the stories of different characters from the original show.",1,neutral,neutral
"A CBS radio program entitled ""We the People"" assists in finding an American home for Vienna refugee Charles Coburn (as Karl Braun), a skilled surgeon and pool hustler. He arrives with beautiful daughter Sigrid Gurie (as Leni), who is ""studying"" to become a nurse. Relocated to a small, dusty Midwestern village, they are welcomed at the station by burly John Wayne (as John Phillips) and his uncle Spencer Charters (as 'Nunk' Atterbury), a veterinarian. Ms. Gurie is unhappy in the dustbowl, and wants to leave. Immediately. But, the prospect of romance with Mr. Wayne might change her mind...<br /><br />God answers the citizens' many prayers for rain, but it may not be enough to save the farming town. The entire town is advised to relocate to Oregon. Wayne wants to stay and tough it out. Coburn receives an invitation to work at a top clinic. And, Gurie learns her fiancé, presumed dead, will be arriving to claim her as his wife. She feels duty-bound to accept; but, he has a dark secret... This film does not flatter Wayne, who seems way out of his element. Being paired with Gurie, promoted as another Garbo, doesn't help. They do have a cute scene in Wayne's car (""Jalopy, an Italian car"").<br /><br />**** Three Faces West (7/3/40) Bernard Vorhaus ~ John Wayne, Sigrid Gurie, Charles Coburn, Spencer Charters",0,neutral,neutral
"I'm surprised that no one yet has mentioned that there are two versions of this same film. The lion's share of the footage in both is identical, but here is where they differ: In one version (the version I have seen most often on broadcast TV), the group of clerics guarding the gateway consists of the ""Brotherhood of the Protectors"", a (fictional) splinter group of priests and brothers ""excommunicated"" by the Church. In the other version, which I've seen only once on TV, the clerics guarding the gateway are depicted as priests of the official Church, meaning the Archdiocese of New York (or perhaps Brooklyn). Also, in the former version, in most of the pertinent scenes, the clerics are referred to as ""brothers"" (and in some scenes, you can see where the lips say ""Father"" so-and-so but the dubbed audio says ""Brother"" so-and-so. In the latter version, I believe everyone is referred to as ""Father"".<br /><br />In any event, it seems that one of these two versions is more or less a partial re-shooting of the other, with all ""Brotherhood of the Protector"" scenes re-shot as ""Archdiocese"" scenes, or vice versa. (Kind of reminds me of the Raymond Burr cutaway scenes in ""Godzilla""). I have videotaped both versions off broadcast TV, so no, I'm not imagining this. Can anyone shed some more light on the story behind these two versions of the film?",1,neutral,neutral
"Give director Stanley Tong of Jackie Chan's Super Cop and Rumble in the Bronx, and what do you get? You receive a series of kung fu fights and a lack of Magoo-like madness.<br /><br />The limited plot has Magoo (Leslie Nielsen) put into an international plot, where he steals a world-renowned gem. Of course he has no idea what he is doing. In fact, he has no idea that he had the gem.<br /><br />Within thirty minutes you could get very bored watching this. There are some very funny moments though like when he is cooking the chicken. You will wish that you were as nearsighted as Magoo. Its a fun movie to watch but its quite a disaster! You have to love Leslie Nielson because he was made some very funny movies. This isn't his best, but he does a good job playing Magoo. I thought it was a funny film, and it should be recommended to young children because they will probably think that its very funny.",0,mixed,mixed
"I found the documentary entitled Fast, Cheap, and Out of Control to be a fairly interesting documentary. The documentary contained four ""mini"" documentaries about four interesting men. Each one of these men was extremely involved with his job, showing sheer love and enjoyment for one's job.<br /><br />The sad part, I must say, would have to be the subjects in which these individuals worked/studied. They were interesting for about five minutes, afterwards becoming boring and lasting entirely too long.<br /><br />The video was filmed in a very creative way though. I very much enjoyed the film of one thing with a voice dub over another. It played out excellent and also coincided nicely with the music.",0,mixed,mixed
"A teen-aged girl gets the horse of her dreams and is trained by an ex-Jockey to participate in London's Grand National Steeplechase. A fine adaptation of the classic children's book, with an excellent, start-making performance by Taylor as the energetic but polite youngster. Rooney is OK as her trainer, although he has some overly melodramatic moments. Crisp and Revere are quite good as Taylor's loving parents. Filmed in Technicolor, it looks beautiful. The problems are that there are corny elements, nothing very interesting happens, and it drags on a bit too long. The race is exciting but could have been much more so.",1,mixed,mixed
"Okay, I'll admit right up front that the Inki cartoons made by Loony Tunes are pretty offensive and I can understand why Warner Brothers has pulled them off the market. Seen today, the huge-lipped and very stereotypical Inki is not politically correct. However, the cartoons were well-made and it's a shame they aren't released with some sort of explanatory prologue (such as the one with Leonard Maltin they included with some recent politically incorrect Donald Duck cartoons that were recently released on DVD). In other words, throwing out the cartoons completely is to forget our history. Plus, Inki, Little Black Sambo and other racist cartoons are out there--especially on the internet.<br /><br />This Inki cartoon has our little hero out hunting. At first, he's chasing a cute little caterpillar but later accidentally happens upon a lion--a lion that is more than happy to make Inki his dinner. However, through all this, a weird Minah appears again and again...and eventually you'll see why this bird is so important to the story.<br /><br />Cute, well made and clever. I like the Inki cartoons. Plus, I take pleasure in showing them to extremely thin-skinned liberal friends just to watch them have apoplectic fits or even heart attacks. Loads of fun, folks!",1,mixed,mixed
